Tên,Lớp,Giới tính,Diem1,Diem2,Diem3,Diem4,Diem5,Diem6,Diem7,Diem8,Diem9,Diem10
Võ Thanh Nhung,6A2,Nữ,4,7.5,7.75,2,2.75,3.75,6.5,1.75,9.75,8.25
Trần Thanh Lan,12B1,Nữ,3.25,0,0,0.75,6.75,8,6.25,7.25,3.5,0.25
Huỳnh Diễm Nhi,11A1,Nữ,8,0.25,7.25,2,2.25,6.25,5,0.5,2.75,3
Huỳnh Thanh Trâm,6C1,Nữ,6,8,1,6.5,9.5,8,4.5,0.75,4.25,2.25
Đặng Mai Linh,7C1,Nữ,8.25,3,8.25,8,6,3,8,4.5,3.25,6
Phan Gia Đạt,11A1,Nam,4.75,8,2,5,2.5,0.5,10,1,1.5,0.5
Võ Hoàng Hải,12C1,Nam,6.75,1.75,10,2,8,8,6.25,8,4.5,4.25
Đặng Thu Lan,12A1,Nữ,4.75,5.25,9.75,3,3.75,8.75,8,6.25,0.25,3.5
Vũ Bích Lan,4B2,Nữ,4.75,1.5,9,7.75,0.75,4,10,2.25,2.25,5
Bùi Hoàng Thắng,4A2,Nam,6.5,6,6.75,1.25,4.5,3.5,9.5,2,7.25,2
Nguyễn Tuấn Long,10B2,Nam,6.25,1,4.75,2.25,10,4.75,6.25,5.5,2,0
Vũ Tuấn Phong,1B2,Nam,6.25,9.25,2.5,1.25,10,6.5,5.25,9.25,1.75,8
Lê Thị Trang,9A1,Nữ,5.5,4.5,4.25,9,6.5,1.25,6.25,5.75,9.25,9
Vũ Diễm Hương,6A2,Nữ,0.25,5.5,9.25,5.5,10,5,4.25,1,9.75,8.75
Huỳnh Diễm Hà,12B1,Nữ,10,5.5,2,1,0,1.75,5.75,5.75,9.25,2.25
Nguyễn Thị Trang,3B1,Nữ,9.75,6.75,8.75,1.5,2.75,2.5,7.75,2.75,0.75,6.25
Đặng Hoàng Bảo,5B2,Nam,5.5,5.75,7.75,9.75,5.25,1,9.5,8.75,7.5,5.25
Phạm Mai Lan,11B1,Nữ,4.5,3.5,9.75,7.75,0.75,2.5,10,3.5,5,2.75
Phạm Văn Dũng,8B2,Nam,5,1.25,5,4.25,7,9,1.25,5,2,4.75
Lê Như Thảo,1C1,Nữ,4,8.75,6.5,8.75,1.75,6.75,6,3,6.75,3
Hoàng Ngọc Hương,7A1,Nữ,1.75,6.5,6,2.25,10,4.75,3.25,4,1.75,5.5
Huỳnh Thị Yến,11A3,Nữ,10,4,2.25,10,4.75,2.75,1.5,5.5,3.75,9.5
Nguyễn Mai Nhi,9B1,Nữ,5.5,5,2,6.75,2.5,0,0.5,4.75,5.75,8.25
Phạm Thái Khoa,9B2,Nam,3.5,0.5,9.5,7.5,3.25,4,5.5,5,5.75,6.75
Đặng Thanh Thảo,5A3,Nữ,8.25,6.5,7.75,1.25,0.25,2.5,5,6.25,7,2.5
Vũ Như Vy,12A2,Nữ,3.25,1.25,5.75,4,0.25,2.75,5,2,8.75,9.25
Nguyễn Hữu Hải,8A1,Nam,9,5.5,5.75,0.25,4.75,1.5,7.75,4.75,5,0.5
Đặng Ngọc Yến,2B2,Nữ,0,3,9.75,9.25,1.25,10,2.25,2.5,2.5,2.5
Phạm Thanh Nhi,9B2,Nữ,5.5,4,4,2,8.25,3,0,6,2.75,4
Hoàng Phương Thảo,8A1,Nữ,8,7.5,3.75,9.25,7,2,5,8,7,6.25
Lê Hữu Long,1B2,Nam,5.25,1.5,0,4.75,8.5,0,1.5,8.5,6.25,3.75
Lê Đức Huy,5B2,Nam,9.75,6.25,9.5,6.75,3.5,3,4.5,1.25,7.25,8.25
Đỗ Tuấn Long,2A2,Nam,4,6,9.75,1.25,5.75,6.75,0.25,6.25,3.5,7.75
Trần Mai Vy,11C1,Nữ,9.5,8.25,8.25,5.5,2.25,7,0,8.25,3.75,0.5
Huỳnh Như Hà,4B2,Nữ,1.25,1,1.75,2.25,9.75,2,6.25,1.5,6.75,0.25
Vũ Thị Trâm,10A3,Nữ,7.25,8,2.25,0.25,2,0.5,2.5,1.5,4.75,2
Vũ Hoàng Bảo,2A1,Nam,10,8.25,9.25,5.75,5.75,7.5,0.5,6.5,2.5,5.75
Phạm Thái Bảo,5C1,Nam,4.5,2,8.5,9,5.5,4,2,3.75,0,5.5
Hoàng Hữu Bảo,1B2,Nam,4.75,10,2.75,5.5,7.25,6.75,8.25,6.75,9.25,7.75
Võ Văn Phong,5C1,Nam,5.25,8.5,10,0.25,1,7,1.75,4.25,3.25,5.25
